user,connectedAt
ObjectId(66846c24a6a5846817498904),2024-07-02T21:07:52.582Z
ObjectId(66846c24a6a5846817498904),2024-07-02T21:07:59.554Z
ObjectId(66846c24a6a5846817498904),2024-07-02T21:08:00.563Z
ObjectId(66846c24a6a5846817498904),2024-07-02T21:15:48.214Z
ObjectId(66846c24a6a5846817498904),2024-07-03T12:16:04.371Z
ObjectId(66846c24a6a5846817498904),2024-07-03T12:16:36.124Z
ObjectId(66846c24a6a5846817498904),2024-07-03T12:29:17.574Z
ObjectId(668547535769c8ead659b6fe),2024-07-03T12:43:37.743Z
ObjectId(668547535769c8ead659b6fe),2024-07-03T12:43:45.851Z
ObjectId(668547535769c8ead659b6fe),2024-07-03T12:43:46.734Z
